step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
121,CASH_OUT,557.12,8510.47,7953.35,6402.29,6959.41,0
122,DEBIT,3291.44,19006.13,15714.69,44839.42,48130.86,0
123,CASH_IN,29299.55,97337.92,68038.37,11192.45,40492.0,0
124,TRANSFER,2537.75,28580.44,26042.69,4435.13,6972.88,0
125,PAYMENT,16205.69,36243.16,20037.47,6437.42,22643.11,0
126,CASH_OUT,1957.32,4891.9,2934.58,31395.02,33352.34,0
127,CASH_OUT,2824.06,92166.37,89342.31,13843.88,16667.94,0
128,PAYMENT,29652.22,60130.53,30478.31,26829.53,56481.75,0
129,TRANSFER,20255.37,76235.59,55980.22,36025.8,56281.17,0
130,CASH_OUT,9273.29,25991.26,16717.97,44760.34,54033.63,0
131,DEBIT,2602.76,11610.03,9007.27,26630.86,29233.62,0
132,PAYMENT,6752.97,74003.12,67250.15,28198.25,34951.22,0
133,TRANSFER,6304.3,53998.22,47693.92,17146.34,23450.64,0
134,TRANSFER,19725.37,79127.95,59402.58,4346.01,24071.38,0
135,TRANSFER,16490.61,56216.48,39725.87,28222.93,44713.54,0
136,CASH_IN,11935.3,36945.15,25009.85,28538.92,40474.22,0
137,CASH_IN,15735.47,33704.5,17969.03,376.72,16112.19,0
138,DEBIT,3754.49,85230.93,81476.44,40293.24,44047.73,0
139,PAYMENT,2350.14,8943.14,6593.0,20519.84,22869.98,0
140,TRANSFER,26616.23,58023.84,31407.61,265.0,26881.23,0
141,CASH_OUT,29554.86,82265.29,52710.43,26751.84,56306.7,0
142,CASH_IN,7226.13,77179.8,69953.67,16183.96,23410.09,0
143,PAYMENT,19579.24,73888.47,54309.23,35361.5,54940.74,0
144,CASH_IN,23815.65,51104.29,27288.64,16032.11,39847.76,0
145,TRANSFER,12614.85,45972.53,33357.68,27446.1,40060.95,0
146,TRANSFER,681.84,9698.94,9017.1,135.54,817.38,0
147,CASH_OUT,16517.49,35537.96,19020.47,41530.97,58048.46,0
148,CASH_IN,34417.01,73355.88,38938.87,9061.65,43478.66,0
149,DEBIT,5902.88,84341.05,78438.17,39763.37,45666.25,0
150,CASH_OUT,7032.57,17262.31,10229.74,33259.86,40292.43,0
151,DEBIT,9506.29,32303.46,22797.17,34149.1,43655.39,0
152,CASH_OUT,16949.96,62786.05,45836.09,21937.23,38887.19,0
153,PAYMENT,17292.38,90057.88,72765.5,27177.64,44470.02,0
154,CASH_OUT,11817.06,54742.08,42925.02,16640.79,28457.85,0
155,TRANSFER,5873.06,14787.94,8914.88,31003.64,36876.7,0
156,CASH_OUT,6005.03,79071.12,73066.09,15586.1,21591.13,0
157,PAYMENT,1235.18,4319.71,3084.53,38122.93,39358.11,0
158,PAYMENT,3005.9,11188.69,8182.79,18941.08,21946.98,0
159,DEBIT,16080.06,40331.44,24251.38,7495.87,23575.93,0
160,DEBIT,482.24,77416.32,76934.08,29922.14,30404.38,0
161,TRANSFER,4488.16,25928.11,21439.95,9079.89,13568.05,0
162,TRANSFER,7275.87,94781.05,87505.18,29311.49,36587.36,0
163,PAYMENT,9567.43,26345.54,16778.11,29648.15,39215.58,0
164,DEBIT,921.68,79218.38,78296.7,32568.36,33490.04,0
165,TRANSFER,311.68,7823.23,7511.55,5212.35,5524.03,0
166,CASH_OUT,2592.57,45633.1,43040.53,49242.06,51834.63,0
167,PAYMENT,5283.14,33882.49,28599.35,11369.78,16652.92,0
168,PAYMENT,7684.37,74680.72,66996.35,39389.49,47073.86,0
169,CASH_OUT,10865.04,40418.7,29553.66,45992.78,56857.82,0
170,TRANSFER,22320.58,48602.86,26282.28,29353.41,51673.99,0
171,CASH_OUT,1326.27,14944.85,13618.58,24918.39,26244.66,0
172,PAYMENT,10709.37,36877.0,26167.63,31613.21,42322.58,0
173,TRANSFER,51698.53,52002.19,303.66,7433.14,59131.67,1
174,DEBIT,4986.06,53971.9,48985.84,14979.8,19965.86,0
175,CASH_OUT,9781.12,21780.65,11999.53,10256.98,20038.1,0
176,CASH_IN,16061.53,38394.87,22333.34,29372.68,45434.21,0
177,CASH_OUT,12033.11,45875.59,33842.48,22038.14,34071.25,0
178,CASH_OUT,1497.15,16368.78,14871.63,43089.28,44586.43,0
179,TRANSFER,8956.35,27803.72,18847.37,20436.71,29393.06,0
180,TRANSFER,79834.43,84139.1,4304.67,1354.8,81189.23,1
181,CASH_OUT,15191.27,51045.28,35854.01,16963.56,32154.83,0
182,CASH_OUT,7822.62,65621.86,57799.24,4972.07,12794.69,0
183,CASH_OUT,45474.96,96302.28,50827.32,7054.09,52529.05,0
184,TRANSFER,106.93,2287.19,2180.26,10394.31,10501.24,0
185,TRANSFER,80150.9,87767.96,7617.06,44633.59,124784.49,1
186,DEBIT,14132.01,34250.72,20118.71,18152.96,32284.97,0
187,DEBIT,12859.54,62790.74,49931.2,27602.36,40461.9,0
188,DEBIT,11076.73,22731.54,11654.81,38987.94,50064.67,0
189,CASH_OUT,35819.79,89560.67,53740.88,21260.68,57080.47,0
190,TRANSFER,49726.72,54621.79,4895.07,10901.16,60627.88,1
191,DEBIT,6347.93,14095.34,7747.41,34561.09,40909.02,0
192,TRANSFER,21778.68,53436.51,31657.83,24904.54,46683.22,0
193,CASH_IN,27171.86,65490.62,38318.76,10321.06,37492.92,0
194,TRANSFER,26591.97,27104.7,512.73,29870.66,56462.63,1
195,PAYMENT,14317.45,49933.11,35615.66,41905.35,56222.8,0
196,TRANSFER,7576.05,42781.57,35205.52,47931.36,55507.41,0
197,CASH_IN,7455.37,60712.06,53256.69,19464.78,26920.15,0
198,DEBIT,10730.97,72185.54,61454.57,28320.23,39051.2,0
199,CASH_IN,6605.52,48891.74,42286.22,26992.14,33597.66,0
200,DEBIT,1516.76,6091.16,4574.4,29842.14,31358.9,0
201,TRANSFER,8263.07,47949.49,39686.42,17577.01,25840.08,0
202,CASH_IN,15040.21,69151.84,54111.63,12320.1,27360.31,0
203,CASH_IN,596.23,1231.6,635.37,262.69,858.92,0
204,CASH_IN,4617.96,10066.63,5448.67,6840.93,11458.89,0
205,PAYMENT,5241.56,19328.16,14086.6,43647.29,48888.85,0
206,CASH_IN,27571.02,76144.55,48573.53,31861.58,59432.6,0
207,TRANSFER,5477.53,49453.07,43975.54,49383.4,54860.93,0
208,TRANSFER,29599.91,59238.11,29638.2,27790.33,57390.24,0
209,CASH_IN,7073.7,73371.34,66297.64,5764.1,12837.8,0
210,CASH_IN,20667.65,47947.21,27279.56,42227.47,62895.12,0
211,TRANSFER,21072.21,64810.12,43737.91,18234.86,39307.07,0
212,CASH_IN,3003.47,8618.37,5614.9,16993.75,19997.22,0
213,DEBIT,23184.78,57670.35,34485.57,26920.07,50104.85,0
214,CASH_IN,27893.16,62963.25,35070.09,30793.16,58686.32,0
215,CASH_OUT,936.49,87139.79,86203.3,43735.08,44671.57,0
216,CASH_OUT,47.53,7932.94,7885.41,2634.19,2681.72,0
217,CASH_IN,14087.08,48498.35,34411.27,13584.35,27671.43,0
218,PAYMENT,8966.16,34300.68,25334.52,36613.59,45579.75,0
219,CASH_OUT,35310.45,36107.59,797.14,35777.67,71088.12,1
220,PAYMENT,2064.42,91123.57,89059.15,5473.38,7537.8,0
221,DEBIT,10738.45,22607.13,11868.68,39317.25,50055.7,0
222,CASH_OUT,44745.23,90468.67,45723.44,37167.64,81912.87,0
223,DEBIT,9685.23,83944.75,74259.52,41532.13,51217.36,0
224,CASH_OUT,2044.68,18476.28,16431.6,9321.91,11366.59,0
225,CASH_IN,3259.6,6726.42,3466.82,44189.29,47448.89,0
226,TRANSFER,6900.73,52978.12,46077.39,25762.4,32663.13,0
227,PAYMENT,6624.65,16235.69,9611.04,11222.03,17846.68,0
228,PAYMENT,17320.08,59701.05,42380.97,4574.34,21894.42,0
229,CASH_OUT,6684.19,28022.98,21338.79,2218.83,8903.02,0
230,TRANSFER,26587.3,81142.09,54554.79,27542.87,54130.17,0
231,DEBIT,4929.24,37896.16,32966.92,36171.01,41100.25,0
232,CASH_IN,7791.68,22798.14,15006.46,3806.54,11598.22,0
233,CASH_IN,14393.09,48578.07,34184.98,41234.05,55627.14,0
234,TRANSFER,23703.2,54834.11,31130.91,36695.5,60398.7,0
235,DEBIT,36951.35,85207.59,48256.24,35418.15,72369.5,0
236,PAYMENT,4934.4,93078.94,88144.54,34949.54,39883.94,0
237,CASH_IN,38452.29,88206.21,49753.92,1462.36,39914.65,0
238,TRANSFER,9401.32,82174.74,72773.42,45435.07,54836.39,0
239,TRANSFER,74109.55,83381.28,9271.73,9656.64,83766.19,1
240,CASH_OUT,31005.96,98137.43,67131.47,12990.18,43996.14,0
241,CASH_IN,4192.12,78204.69,74012.57,38051.4,42243.52,0
242,TRANSFER,11025.64,34845.34,23819.7,46601.41,57627.05,0
243,DEBIT,7017.68,18201.59,11183.91,47364.89,54382.57,0
244,DEBIT,2236.14,7667.71,5431.57,17294.15,19530.29,0
245,CASH_OUT,42274.01,85389.05,43115.04,33802.61,76076.62,0
246,CASH_OUT,5264.21,13878.54,8614.33,1229.35,6493.56,0
247,TRANSFER,23837.53,25998.37,2160.84,13681.33,37518.86,1
248,PAYMENT,4749.66,11117.17,6367.51,26351.2,31100.86,0
249,CASH_OUT,950.63,22856.19,21905.56,34024.97,34975.6,0
250,CASH_OUT,41871.0,86937.38,45066.38,1565.12,43436.12,0
251,CASH_IN,12771.6,64214.07,51442.47,13710.76,26482.36,0
252,PAYMENT,11866.46,32753.53,20887.07,37291.85,49158.31,0
253,PAYMENT,12078.32,65515.02,53436.7,43217.91,55296.23,0
254,DEBIT,8412.64,19367.03,10954.39,38829.84,47242.48,0
255,TRANSFER,23907.0,76341.38,52434.38,6562.24,30469.24,0
256,DEBIT,8982.84,96783.62,87800.78,23104.86,32087.7,0
257,CASH_OUT,55900.1,61123.34,5223.24,10026.24,65926.34,1
258,CASH_IN,11020.44,27630.35,16609.91,15518.1,26538.54,0
259,CASH_IN,1609.85,8172.24,6562.39,23996.94,25606.79,0
260,CASH_OUT,30021.05,69803.21,39782.16,38992.55,69013.6,0
261,CASH_OUT,1385.79,11388.09,10002.3,49333.13,50718.92,0
262,DEBIT,19744.34,70544.03,50799.69,488.54,20232.88,0
263,TRANSFER,23781.03,53889.98,30108.95,4125.43,27906.46,0
264,TRANSFER,2682.59,40295.4,37612.81,28377.04,31059.63,0
265,TRANSFER,1704.75,82322.63,80617.88,33519.27,35224.02,0
266,CASH_IN,1130.06,70941.1,69811.04,46810.61,47940.67,0
267,PAYMENT,31006.48,71196.99,40190.51,35704.35,66710.83,0
268,CASH_OUT,16178.76,48955.45,32776.69,27650.07,43828.83,0
269,TRANSFER,1000.11,48609.48,47609.37,8199.97,9200.08,0
270,TRANSFER,869.28,6974.86,6105.58,7977.23,8846.51,0
271,TRANSFER,7897.95,33572.73,25674.78,37213.95,45111.9,0
272,CASH_IN,16498.3,66212.07,49713.77,27768.18,44266.48,0
273,CASH_IN,48563.01,99637.06,51074.05,32516.28,81079.29,0
274,CASH_OUT,4783.01,22835.55,18052.54,10178.91,14961.92,0
275,PAYMENT,31619.67,86958.98,55339.31,37135.33,68755.0,0
276,DEBIT,28331.21,73799.68,45468.47,25242.24,53573.45,0
277,CASH_OUT,12788.81,58288.87,45500.06,36262.88,49051.69,0
278,TRANSFER,23859.99,60174.63,36314.64,32750.47,56610.46,0
279,TRANSFER,9627.15,91323.97,81696.82,31148.33,40775.48,0
280,PAYMENT,5022.64,14025.2,9002.56,45451.63,50474.27,0
281,DEBIT,9722.01,37912.02,28190.01,20651.56,30373.57,0
282,PAYMENT,11092.85,25475.88,14383.03,22265.26,33358.11,0
283,PAYMENT,3181.23,66599.51,63418.28,32606.16,35787.39,0
284,DEBIT,8723.32,26555.21,17831.89,16259.5,24982.82,0
285,DEBIT,22017.04,97012.28,74995.24,11802.52,33819.56,0
286,TRANSFER,15208.17,45428.98,30220.81,7287.83,22496.0,0
287,CASH_OUT,11991.15,94909.75,82918.6,17962.54,29953.69,0
288,CASH_OUT,24532.2,73903.8,49371.6,23731.54,48263.74,0
289,DEBIT,19528.54,45190.5,25661.96,27907.01,47435.55,0
290,DEBIT,800.23,27705.21,26904.98,26558.48,27358.71,0
291,CASH_IN,7238.67,64360.29,57121.62,9000.52,16239.19,0
292,PAYMENT,1074.19,51216.25,50142.06,7417.16,8491.35,0
293,CASH_OUT,709.13,1489.06,779.93,31956.0,32665.13,0
294,CASH_OUT,16473.48,49395.81,32922.33,6982.56,23456.04,0
295,CASH_OUT,13389.64,15210.69,1821.05,33671.62,47061.26,1
296,PAYMENT,5735.91,73352.12,67616.21,11728.06,17463.97,0
297,TRANSFER,32540.49,66501.6,33961.11,18714.84,51255.33,0
298,CASH_OUT,60904.35,62166.88,1262.53,38425.97,99330.32,1
299,PAYMENT,23431.96,69263.15,45831.19,10783.76,34215.72,0
300,CASH_IN,19348.64,67030.18,47681.54,17428.68,36777.32,0
301,PAYMENT,43099.68,86777.43,43677.75,37621.39,80721.07,0
302,PAYMENT,3842.12,11801.85,7959.73,38259.54,42101.66,0
303,CASH_OUT,30866.06,80976.75,50110.69,39890.68,70756.74,0
304,CASH_OUT,5675.98,38191.55,32515.57,32453.73,38129.71,0
305,PAYMENT,7390.64,37279.69,29889.05,34773.36,42164.0,0
306,PAYMENT,16389.35,60052.06,43662.71,22220.97,38610.32,0
307,CASH_OUT,57484.84,60741.41,3256.57,37967.22,95452.06,1
308,CASH_IN,22447.32,86470.03,64022.71,23959.09,46406.41,0
309,TRANSFER,10720.38,11782.92,1062.54,29008.62,39729.0,1
310,CASH_OUT,31189.4,76723.44,45534.04,35906.15,67095.55,0
311,CASH_IN,17760.86,82416.95,64656.09,44835.71,62596.57,0
312,PAYMENT,12513.43,65814.62,53301.19,9857.71,22371.14,0
313,CASH_OUT,2687.31,11040.66,8353.35,12838.83,15526.14,0
314,CASH_OUT,24763.02,93030.98,68267.96,29046.6,53809.62,0
315,TRANSFER,19823.17,40590.62,20767.45,41158.7,60981.87,0
316,DEBIT,4983.93,18962.4,13978.47,35452.31,40436.24,0
317,TRANSFER,8874.4,19337.62,10463.22,21226.37,30100.77,0
318,PAYMENT,10002.29,37977.46,27975.17,5615.22,15617.51,0
319,TRANSFER,85797.26,88536.44,2739.18,32330.3,118127.56,1
320,PAYMENT,37867.79,84146.27,46278.48,17671.07,55538.86,0
321,CASH_IN,11312.89,30903.99,19591.1,42558.71,53871.6,0
322,PAYMENT,3265.92,10458.0,7192.08,22588.38,25854.3,0
323,PAYMENT,31903.51,73950.5,42046.99,10836.99,42740.5,0
324,CASH_IN,19599.46,64555.18,44955.72,27334.87,46934.33,0
325,CASH_IN,14871.57,59853.16,44981.59,49389.28,64260.85,0
326,CASH_IN,15037.65,67908.28,52870.63,22289.55,37327.2,0
327,CASH_OUT,6372.86,99134.34,92761.48,5205.48,11578.34,0
328,TRANSFER,35020.22,90646.95,55626.73,13244.77,48264.99,0
329,DEBIT,3239.65,19994.87,16755.22,11332.82,14572.47,0
330,DEBIT,18634.82,44798.58,26163.76,33480.13,52114.95,0
331,CASH_IN,8257.08,27843.6,19586.52,34006.6,42263.68,0
332,TRANSFER,11373.6,33967.19,22593.59,49706.97,61080.57,0
333,PAYMENT,22223.3,99552.57,77329.27,16678.48,38901.78,0
334,TRANSFER,8405.69,95804.9,87399.21,34500.24,42905.93,0
335,TRANSFER,2385.93,10570.97,8185.04,37808.17,40194.1,0
336,DEBIT,23308.5,98142.4,74833.9,19126.31,42434.81,0
337,CASH_OUT,7984.2,16089.19,8104.99,46350.05,54334.25,0
338,PAYMENT,3144.7,67484.29,64339.59,12852.36,15997.06,0
339,PAYMENT,15524.36,61240.15,45715.79,7965.2,23489.56,0
340,DEBIT,4086.89,31009.71,26922.82,18006.82,22093.71,0
341,CASH_OUT,6291.45,24666.48,18375.03,41264.31,47555.76,0
342,TRANSFER,15593.53,60458.84,44865.31,45969.6,61563.13,0
343,DEBIT,8899.96,85291.07,76391.11,46529.76,55429.72,0
344,TRANSFER,21300.15,63167.06,41866.91,26624.06,47924.21,0
345,CASH_OUT,12074.23,79213.01,67138.78,4045.96,16120.19,0
346,TRANSFER,1821.87,16225.32,14403.45,47866.14,49688.01,0
347,TRANSFER,5470.39,82425.58,76955.19,43100.72,48571.11,0
348,PAYMENT,23336.33,61019.04,37682.71,8741.93,32078.26,0
349,PAYMENT,27553.42,82694.88,55141.46,6088.1,33641.52,0
350,DEBIT,6925.87,14381.46,7455.59,27476.48,34402.35,0
351,DEBIT,8070.26,31869.8,23799.54,21975.58,30045.84,0
352,CASH_IN,832.81,2751.09,1918.28,18239.91,19072.72,0
353,CASH_IN,18005.53,78295.4,60289.87,2908.19,20913.72,0
354,CASH_IN,9274.14,62330.28,53056.14,21516.86,30791.0,0
355,CASH_IN,1980.85,13017.11,11036.26,5052.29,7033.14,0
356,DEBIT,19691.79,62187.12,42495.33,11444.73,31136.52,0
357,DEBIT,9773.69,31319.11,21545.42,26352.07,36125.76,0
358,CASH_IN,19970.05,88773.82,68803.77,9731.13,29701.18,0
359,DEBIT,4313.83,48681.85,44368.02,19353.94,23667.77,0
360,TRANSFER,2987.48,14246.57,11259.09,39516.89,42504.37,0
361,TRANSFER,6125.14,19779.79,13654.65,16175.02,22300.16,0
362,CASH_IN,39121.6,97611.5,58489.9,47978.83,87100.43,0
363,CASH_OUT,8828.89,27319.26,18490.37,24966.69,33795.58,0
364,CASH_IN,3709.89,49335.87,45625.98,16233.8,19943.69,0
365,CASH_OUT,7543.1,38212.94,30669.84,22972.34,30515.44,0
366,CASH_IN,733.29,14181.36,13448.07,32934.61,33667.9,0
367,TRANSFER,5651.3,44322.71,38671.41,42043.58,47694.88,0
368,DEBIT,32320.47,78335.87,46015.4,24772.61,57093.08,0
369,PAYMENT,2068.2,61779.42,59711.22,25920.4,27988.6,0
370,DEBIT,17590.48,51709.97,34119.49,2083.65,19674.13,0
371,CASH_OUT,26570.36,66244.52,39674.16,5268.38,31838.74,0
372,DEBIT,13079.12,74013.33,60934.21,14826.78,27905.9,0
373,CASH_OUT,6163.65,66475.69,60312.04,8705.47,14869.12,0
374,TRANSFER,135.46,3073.55,2938.09,48393.0,48528.46,0
375,PAYMENT,32577.73,97623.09,65045.36,521.38,33099.11,0
376,DEBIT,25015.62,77688.74,52673.12,26515.11,51530.73,0
377,TRANSFER,2068.8,32899.33,30830.53,23716.81,25785.61,0
378,CASH_IN,21943.45,58659.84,36716.39,40588.49,62531.94,0
379,CASH_OUT,304.19,5329.83,5025.64,29926.58,30230.77,0
380,CASH_OUT,10783.28,55459.1,44675.82,8184.19,18967.47,0
381,DEBIT,1294.41,13028.64,11734.23,44346.25,45640.66,0
382,CASH_OUT,10698.85,67474.04,56775.19,43963.43,54662.28,0
383,TRANSFER,7078.61,63971.01,56892.4,48919.86,55998.47,0
384,DEBIT,1020.1,6331.96,5311.86,37659.37,38679.47,0
385,DEBIT,442.99,5274.2,4831.21,6586.44,7029.43,0
386,CASH_OUT,23581.82,96547.84,72966.02,7533.81,31115.63,0
